Dataset/Setting,Model,available_budget,fpr_budget_value,Recall,AUPR,AUROC,source
ctt_test01,CMF-CAN,0.0001,0.0001,0.9653388515261252,0.9781093030763408,0.9907451786831104,reported_low_fpr_csv
ctt_test01,CMF-CAN,0.0005,0.0005,0.9679255043973098,0.9781093030763408,0.9907451786831104,reported_low_fpr_csv
ctt_test01,CMF-CAN,0.001,0.001,0.9684428349715468,0.9781093030763408,0.9907451786831104,reported_low_fpr_csv
ctt_test01,Concat-Fusion,0.0001,0.0001,0.9555095706156234,0.975534988105138,0.9875688953576576,reported_low_fpr_csv
ctt_test01,Concat-Fusion,0.0005,0.0005,0.9622348680807036,0.975534988105138,0.9875688953576576,reported_low_fpr_csv
ctt_test01,Concat-Fusion,0.001,0.001,0.9632695292291774,0.975534988105138,0.9875688953576576,reported_low_fpr_csv
ctt_test01,Transformer,0.0001,0.0001,0.9715468184169684,0.98438087210754,0.9968966598253644,reported_low_fpr_csv
ctt_test01,Transformer,0.0005,0.0005,0.9736161407139162,0.98438087210754,0.9968966598253644,reported_low_fpr_csv
ctt_test01,Transformer,0.001,0.001,0.9741334712881532,0.98438087210754,0.9968966598253644,reported_low_fpr_csv
ctt_test02,CMF-CAN,0.0001,0.0001,0.7680099857346647,0.9324805949532672,0.9683574023354516,reported_low_fpr_csv
ctt_test02,CMF-CAN,0.0005,0.0005,0.8074179743223966,0.9324805949532672,0.9683574023354516,reported_low_fpr_csv
ctt_test02,CMF-CAN,0.001,0.001,0.829172610556348,0.9324805949532672,0.9683574023354516,reported_low_fpr_csv
ctt_test02,Concat-Fusion,0.0001,0.0001,0.2694365192582025,0.8291933931589583,0.93873470836008,reported_low_fpr_csv
ctt_test02,Concat-Fusion,0.0005,0.0005,0.4299215406562054,0.8291933931589583,0.93873470836008,reported_low_fpr_csv
ctt_test02,Concat-Fusion,0.001,0.001,0.5381597717546363,0.8291933931589583,0.93873470836008,reported_low_fpr_csv
ctt_test02,Transformer,0.0001,0.0001,0.0,0.0488543960236108,0.1151742375223511,reported_low_fpr_csv
ctt_test02,Transformer,0.0005,0.0005,0.0005349500713266,0.0488543960236108,0.1151742375223511,reported_low_fpr_csv
ctt_test02,Transformer,0.001,0.001,0.0005349500713266,0.0488543960236108,0.1151742375223511,reported_low_fpr_csv
ctt_test03,CMF-CAN,0.0001,0.0001,0.0832334531895059,0.3044429685189416,0.7792276774065259,reported_low_fpr_csv
ctt_test03,CMF-CAN,0.0005,0.0005,0.0849647090158476,0.3044429685189416,0.7792276774065259,reported_low_fpr_csv
ctt_test03,CMF-CAN,0.001,0.001,0.0869623118923958,0.3044429685189416,0.7792276774065259,reported_low_fpr_csv
ctt_test03,Concat-Fusion,0.0001,0.0001,0.0797709415368224,0.3281309018456552,0.7924485771694834,reported_low_fpr_csv
ctt_test03,Concat-Fusion,0.0005,0.0005,0.0846983619656412,0.3281309018456552,0.7924485771694834,reported_low_fpr_csv
ctt_test03,Concat-Fusion,0.001,0.001,0.0868291383672925,0.3281309018456552,0.7924485771694834,reported_low_fpr_csv
